transaction_id,customer_id,transaction_date,transaction_type,transaction_amount,merchant_category,merchant_name,transaction_location,account_balance_after_transaction,is_international_transaction,device_used,ip_address,transaction_status,transaction_source_destination,transaction_notes,fraud_flag
bfc0dcfd-a598-46f2-985e-035251b1f66d,CUST113867,2022-01-16 02:06:00,ATM Withdrawal,100.0,Healthcare,Kashyap PLC,"Hubli–Dharwad, Sikkim",23376.0,0,Mobile,198.106.251.18,Success,Self,Payment for Healthcare,0
a6984ba8-aa3a-45c8-9ed2-cbbfed7d5512,CUST118162,2022-01-04 15:53:00,Fund Transfer,2600.0,Groceries,"Ben, Korpal and Ben","Bikaner, Manipur",13898.0,0,Web,169.104.143.218,Success,FWFR39865699123479,Payment for Groceries,0
595cb0ed-682a-4fef-b5b2-cbdbdedb4fd3,CUST118045,2022-01-16 17:28:00,Credit Card,7400.0,Dining,Chander-Lal,"Shahjahanpur, Jharkhand",0.0,0,POS,83.137.79.234,Success,BFHV23362823349816,Payment for Dining,0
8956156e-e6ad-4a00-b76f-6d3e05354024,CUST110738,2022-01-01 09:13:00,Fund Transfer,100.0,Travel,Mand PLC,"Bokaro, Assam",30999.0,0,POS,243.93.112.66,Success,LECN53071981620570,Payment for Travel,0
7f131467-8329-4171-a3a8-358336e8d188,CUST116276,2022-01-10 10:50:00,Fund Transfer,9500.0,Entertainment,"Sawhney, Soni and Bhandari","Bhopal, Kerala",16867.0,0,Mobile,140.75.1.58,Success,SJAW44334872673735,Payment for Entertainment,0
5914cece-4513-4d3b-a857-47a1618d22cf,CUST102058,2022-01-10 03:26:00,Deposit,2400.0,Entertainment,Sampath-Kibe,"Muzaffarnagar, Uttar Pradesh",24181.0,0,Mobile,228.155.61.231,Success,Self,Payment for Entertainment,0
6bffb07b-f513-4a75-81c5-dfecf0b00a1d,CUST115719,2022-01-25 14:25:00,Net Banking,2000.0,Electronics,Handa Ltd,"Narasaraopet, Rajasthan",26003.0,0,ATM,221.202.138.129,Success,JGUP77620164552044,Payment for Electronics,0
18036861-e11f-44a2-b2de-fd71bf2f3691,CUST101769,2022-01-12 16:56:00,UPI,9400.0,Groceries,"Sen, Sane and Srinivasan","Saharsa, Chhattisgarh",4099.0,0,ATM,241.21.132.204,Success,HUBH79437280198563,Payment for Groceries,0
82666b1a-cb17-40b2-89a1-9d830a78bbd2,CUST102828,2022-01-04 15:55:00,Net Banking,20700.0,Healthcare,"Chaudhuri, Sem and Gara","Udupi, Chhattisgarh",0.0,0,Web,67.28.35.154,Success,DCAK22235801416078,Payment for Healthcare,0
f128493f-e772-47fe-8e62-50119b23bc51,CUST106343,2022-01-11 05:03:00,Debit Card,5000.0,Healthcare,Goswami Ltd,"Bulandshahr, Gujarat",42937.0,0,Web,20.85.62.140,Success,KWBT08533072498287,Payment for Healthcare,0
e7d331dd-1689-4b9d-83df-4402ed0bb2af,CUST103595,2022-01-13 20:14:00,ATM Withdrawal,3300.0,Entertainment,"Hora, Bahl and Dora","Hindupur, Gujarat",23769.0,0,Web,59.91.187.195,Success,Self,Payment for Entertainment,0
eee47835-453f-4dd4-8432-25e84da76b80,CUST106417,2022-01-19 16:58:00,Loan Disbursement,2400.0,Fuel,Deol-Cheema,"Asansol, Gujarat",28095.0,0,Web,253.161.138.162,Success,XSRZ04762449579788,Payment for Fuel,0
957bc116-4fb9-486e-9577-b0c9f950a22e,CUST110516,2022-01-08 00:28:00,UPI,13555.171282625755,Healthcare,"Lall, Bala and Chana","Pallavaram, Kerala",22452.83,0,POS,126.165.98.161,Failed,BVXL53436843139813,Payment for Healthcare,1
957bc116-4fb9-486e-9577-b0c9f950a22e,CUST110516,2022-01-08 00:28:00,UPI,13555.171282625755,Healthcare,"Lall, Bala and Chana","Pallavaram, Kerala",22452.83,0,POS,126.165.98.161,Failed,BVXL53436843139813,Payment for Healthcare,1
